wsg,rows,median_abs,max_abs,n_over_5,n_over_10,n_over_25
SETN,17,98.16,192.24,14,14,14
NASR,15,0.24,85,1,1,1
LRDO,11,2.92,81.84,3,3,2
TOBA,14,0.06,48.96,1,1,1
NASC,11,0.46,36.62,2,2,1
TWAC,6,11.59,30.22,3,3,1
THOM,16,0.06,18.99,3,1,0
OWIK,14,0.46,16.37,1,1,0
STHM,13,0.61,14.62,3,3,0
BBAR,9,0.14,12.2,2,2,0
NEVI,11,0.14,11.67,1,1,0
BULK,16,0.64,10.99,1,1,0
STIR,9,0.8,10.98,1,1,0
CHWK,17,0.11,10.37,1,1,0
QUES,13,0.26,10.22,1,1,0
KUMR,8,0.5,8.94,1,0,0
SQAM,17,0.24,8.89,1,0,0
CLRH,6,2.64,8.47,1,0,0
HORS,9,4.66,7.68,4,0,0
NECR,12,0.3,7.31,1,0,0
COLR,6,1.68,6.91,1,0,0
KHOR,6,2.5,6.75,1,0,0
NECL,11,0.46,6.63,1,0,0
BULL,6,3.4,6.38,3,0,0
ATNA,14,1.3,6.25,1,0,0
MFRA,3,0,6.15,1,0,0
COWN,14,0.13,5.53,1,0,0
KNIG,14,0.2,5.21,1,0,0
LNIC,13,0.26,4.98,0,0,0
TAKL,9,1.05,4.69,0,0,0
HOMA,13,1.18,4.35,0,0,0
REVL,6,2.03,4.31,0,0,0
LILL,16,0.79,4.26,0,0,0
UNUR,6,0.8,4.06,0,0,0
LSTR,9,0.1,4.05,0,0,0
SHUL,16,1.26,3.79,0,0,0
DRIR,6,0.62,3.6,0,0,0
UFRA,6,1.32,3.55,0,0,0
GLAR,3,2.37,3.5,0,0,0
PARK,14,1.07,3.49,0,0,0
KOTR,6,1.92,3.19,0,0,0
DOGC,9,0.44,3.1,0,0,0
JERV,14,0.52,2.97,0,0,0
MCGR,6,1.83,2.81,0,0,0
SKGT,3,1.29,2.8,0,0,0
VICT,10,1.38,2.71,0,0,0
ZYMO,12,0.52,2.57,0,0,0
TATR,6,0.11,2.45,0,0,0
ALBN,13,0.14,2.43,0,0,0
TASR,9,0.51,2.42,0,0,0
LNTH,13,0.29,2.34,0,0,0
CHIR,9,0.59,2.31,0,0,0
COMX,14,1.71,2.28,0,0,0
MORR,16,0.17,2.16,0,0,0
KHTZ,12,0.54,2.14,0,0,0
UOMI,3,1.71,2.11,0,0,0
KITL,14,0.08,2.08,0,0,0
FRAN,9,0.82,2.07,0,0,0
WILL,9,0.76,2.07,0,0,0
SLOC,6,1.21,2.01,0,0,0
BABL,15,1.25,1.98,0,0,0
SMAR,6,0.22,1.96,0,0,0
NIEL,14,0.06,1.94,0,0,0
CARR,12,0.11,1.81,0,0,0
KLUM,17,0.34,1.8,0,0,0
ELKR,6,1.15,1.75,0,0,0
CLAY,13,0.11,1.7,0,0,0
CLWR,6,0.55,1.68,0,0,0
LARL,6,0.86,1.66,0,0,0
SHER,9,0.69,1.63,0,0,0
UEUT,3,1.39,1.61,0,0,0
INKR,15,0.36,1.6,0,0,0
LISR,13,0.2,1.59,0,0,0
CARP,3,1.19,1.58,0,0,0
MAHD,6,0.12,1.51,0,0,0
TABR,6,1,1.51,0,0,0
NATR,3,0.31,1.49,0,0,0
KINR,12,0.13,1.44,0,0,0
KOTL,6,0.13,1.41,0,0,0
PARS,3,0.93,1.37,0,0,0
CANO,3,0.69,1.34,0,0,0
LKEL,14,0.07,1.33,0,0,0
LSAL,3,0.92,1.33,0,0,0
MIDR,9,0.48,1.31,0,0,0
HARR,17,0.04,1.29,0,0,0
STUR,9,0.13,1.29,0,0,0
UARL,6,0.86,1.27,0,0,0
LTRE,9,0.82,1.24,0,0,0
USHU,16,0.08,1.24,0,0,0
BELA,11,0.09,1.23,0,0,0
LDEN,12,0.02,1.23,0,0,0
LCHL,9,0.39,1.22,0,0,0
MESI,3,0.5,1.22,0,0,0
TAYR,6,0.55,1.19,0,0,0
UTRE,6,0.06,1.19,0,0,0
BABR,12,0.29,1.18,0,0,0
TSAY,11,0.64,1.17,0,0,0
LNAR,14,0.56,1.15,0,0,0
HERR,6,0.7,1.14,0,0,0
OSPK,3,0.79,1.13,0,0,0
ADMS,12,0.14,1.11,0,0,0
UNRS,3,1.08,1.11,0,0,0
CAMB,14,0.36,1.1,0,0,0
SEYM,11,0.45,1.1,0,0,0
COTR,10,0.41,1.09,0,0,0
PARA,3,0.95,1.09,0,0,0
BRKS,17,0.24,1.06,0,0,0
NARC,7,0.35,1.06,0,0,0
MORI,11,0.25,1.05,0,0,0
FIRE,3,0.86,1.03,0,0,0
TOOD,3,0.61,1,0,0,0
UDEN,17,0.12,1,0,0,0
BONP,13,0.13,0.99,0,0,0
DEAD,13,0.25,0.95,0,0,0
KLIN,16,0.06,0.94,0,0,0
LFRA,17,0.21,0.93,0,0,0
FOXR,3,0.61,0.9,0,0,0
GRAI,14,0.08,0.9,0,0,0
DUNC,6,0.2,0.87,0,0,0
NAKR,9,0.04,0.85,0,0,0
BIGC,3,0.19,0.84,0,0,0
SAJR,7,0.24,0.81,0,0,0
TSIT,11,0.34,0.8,0,0,0
UCHR,9,0.29,0.8,0,0,0
INGR,3,0.06,0.79,0,0,0
UBIR,9,0.08,0.79,0,0,0
CRKD,3,0.61,0.77,0,0,0
HOLB,8,0.23,0.77,0,0,0
PCEA,3,0.67,0.77,0,0,0
GOLD,13,0.27,0.76,0,0,0
SANJ,14,0.32,0.76,0,0,0
BOWR,12,0.16,0.75,0,0,0
NBNK,3,0.58,0.75,0,0,0
SALM,11,0.45,0.74,0,0,0
LSKE,17,0.18,0.73,0,0,0
EUCL,6,0.58,0.72,0,0,0
BLAR,6,0.07,0.7,0,0,0
LBIR,12,0.1,0.7,0,0,0
NIMP,14,0.11,0.7,0,0,0
SALR,3,0.56,0.69,0,0,0
FINL,3,0.15,0.67,0,0,0
CHES,8,0,0.64,0,0,0
MSTR,6,0.13,0.64,0,0,0
STUL,6,0,0.64,0,0,0
UNTH,9,0.33,0.64,0,0,0
WORC,11,0.1,0.64,0,0,0
MSKE,15,0.07,0.62,0,0,0
UJER,3,0.14,0.61,0,0,0
KISP,17,0.13,0.6,0,0,0
LCHR,9,0.01,0.57,0,0,0
BARR,10,0.2,0.56,0,0,0
KTSU,10,0.46,0.55,0,0,0
KETL,3,0.21,0.53,0,0,0
SIML,3,0.06,0.53,0,0,0
KSHR,11,0.23,0.48,0,0,0
EUCH,3,0.45,0.46,0,0,0
JENR,3,0.36,0.46,0,0,0
FRCN,14,0.18,0.45,0,0,0
LOMI,3,0.38,0.43,0,0,0
MORK,6,0.08,0.42,0,0,0
UNAR,9,0.2,0.42,0,0,0
USKE,12,0.2,0.41,0,0,0
KITR,17,0.27,0.4,0,0,0
SWIR,6,0.26,0.38,0,0,0
OKAN,9,0.21,0.33,0,0,0
SUST,16,0.12,0.32,0,0,0
PORI,8,0.05,0.31,0,0,0
TESR,3,0.2,0.29,0,0,0
TAHS,11,0.19,0.27,0,0,0
MBNK,3,0.01,0.25,0,0,0
GUIC,12,0,0.24,0,0,0
FINA,3,0.03,0.22,0,0,0
UPCE,3,0.18,0.19,0,0,0
NAHR,3,0.07,0.17,0,0,0
TAHR,9,0,0.16,0,0,0
KEEC,3,0.06,0.15,0,0,0
USTK,3,0.08,0.13,0,0,0
MESC,2,0.04,0.09,0,0,0
NICL,6,0.01,0.07,0,0,0
NAZR,3,0.01,0.05,0,0,0
CHIL,3,0,0,0,0,0
