"wsg","species","total_segs","match_pct","n_diffs","top_pattern","top_pattern_count"
"BBAR","BT",23721,99.92,18,"ACCESS;MODELLED;INTERMITTENT | REAR;MODELLED;INTERMITTENT",4
"BBAR","CH",23721,99.97,6,"ACCESS;NONE;INTERMITTENT | ",3
"BBAR","CO",23721,99.98,4,"ACCESS;NONE;INTERMITTENT | ",3
"BBAR","SK",23721,99.98,4,"ACCESS;NONE;INTERMITTENT | ",3
"BULK","BT",42749,99.38,265,"ACCESS;ASSESSED | REAR;ASSESSED",60
"BULK","CH",42749,99.69,132,"ACCESS;ASSESSED | REAR;ASSESSED",13
"BULK","CO",42749,99.23,328,"REAR;NONE | SPAWN;NONE",58
"BULK","PK",42749,99.8,84,"ACCESS;ASSESSED | SPAWN;ASSESSED",11
"BULK","SK",42749,99.66,144,"ACCESS;NONE | SPAWN;NONE",50
"BULK","ST",42749,99.52,205,"ACCESS;ASSESSED | SPAWN;ASSESSED",21
"CARP","BT",16357,99.08,151,"ACCESS;MODELLED;INTERMITTENT | ACCESS;DAM;INTERMITTENT",26
"CHES","BT",9279,99.99,1," | ACCESS;MODELLED",1
"CHES","CH",9279,99.97,3," | ACCESS;DAM",1
"CHES","SK",9279,99.92,7,"ACCESS;NONE | SPAWN;NONE",6
"CHWK","BT",8810,99.83,15,"ACCESS;NONE | REAR;NONE",8
"CHWK","CH",8810,99.93,6,"ACCESS;NONE | SPAWN;NONE",3
"CHWK","CM",8810,98.83,103,"ACCESS;NONE | SPAWN;NONE",47
"CHWK","CO",8810,98.15,163,"ACCESS;NONE | SPAWN;NONE",79
"CHWK","PK",8810,99.63,33,"ACCESS;NONE | SPAWN;NONE",23
"CHWK","SK",8810,99.51,43,"REAR;NONE | SPAWN;NONE",20
"CHWK","ST",8810,99.32,60,"ACCESS;NONE | SPAWN;NONE",25
"COTR","BT",28762,99.78,63,"ACCESS;MODELLED;INTERMITTENT | ACCESS;REMEDIATED;INTERMITTENT",21
"COTR","CH",28762,99.71,83,"ACCESS;NONE | SPAWN;NONE",50
"COTR","CO",28762,99.66,98,"REAR;MODELLED | ACCESS;MODELLED",48
"COTR","PK",28762,99.91,27,"ACCESS;MODELLED;INTERMITTENT | ACCESS;REMEDIATED;INTERMITTENT",20
"CRKD","BT",20926,98.73,266,"REAR;MODELLED | REAR;DAM",74
"DOGC","BT",13089,99.89,14,"REAR;NONE | ACCESS;NONE",5
"DOGC","CH",13089,99.97,4,"ACCESS;NONE | ",1
"DOGC","CO",13089,99.95,6,"REAR;NONE | ACCESS;NONE",2
"DOGC","SK",13089,99.94,8,"ACCESS;NONE | SPAWN;NONE",5
"FINA","BT",26089,75.51,6389,"SPAWN;NONE | SPAWN;DAM",1625
"FINL","BT",39330,99.51,191,"REAR;DAM | ACCESS;DAM",54
"FIRE","BT",29486,99.57,126,"REAR;DAM | ACCESS;DAM",45
"FOXR","BT",27759,99.67,91,"REAR;DAM | ACCESS;DAM",36
"FRAN","BT",40224,99.74,103,"ACCESS;ASSESSED | REAR;ASSESSED",13
"FRAN","CH",40224,99.29,287,"ACCESS;NONE | SPAWN;NONE",106
"FRAN","SK",40224,99.64,145,"ACCESS;NONE | SPAWN;NONE",96
"FRCN","BT",28931,99.86,41,"ACCESS;NONE | REAR;NONE",12
"FRCN","CH",28931,99.59,120,"ACCESS;NONE | SPAWN;NONE",93
"FRCN","CM",28931,99.89,33,"ACCESS;NONE | SPAWN;NONE",25
"FRCN","CO",28931,99.8,57,"ACCESS;NONE | SPAWN;NONE",36
"FRCN","PK",28931,99.85,44,"ACCESS;NONE | SPAWN;NONE",40
"FRCN","SK",28931,99.83,48,"ACCESS;NONE | SPAWN;NONE",42
"FRCN","ST",28931,99.77,66,"REAR;NONE | SPAWN;NONE",17
"HARR","BT",17618,99.53,82,"SPAWN;DAM;INTERMITTENT | SPAWN;MODELLED;INTERMITTENT",12
"HARR","CH",17618,99.9,18,"ACCESS;DAM | SPAWN;DAM",9
"HARR","CM",17618,99.59,72,"ACCESS;NONE | SPAWN;NONE",42
"HARR","CO",17618,99.51,86,"ACCESS;NONE | SPAWN;NONE",37
"HARR","PK",17618,99.9,17,"ACCESS;MODELLED | SPAWN;MODELLED",6
"HARR","SK",17618,99.71,51,"ACCESS;NONE | SPAWN;NONE",33
"HARR","ST",17618,99.86,25,"ACCESS;NONE | REAR;NONE",5
"INGR","BT",25839,99.29,184,"REAR;DAM | ACCESS;DAM",80
"KISP","BT",30869,99.88,38,"ACCESS;NONE | REAR;NONE",7
"KISP","CH",30869,99.8,61,"ACCESS;NONE | SPAWN;NONE",31
"KISP","CM",30869,99.92,26,"ACCESS;NONE | SPAWN;NONE",12
"KISP","CO",30869,99.59,127,"ACCESS;NONE | SPAWN;NONE",47
"KISP","PK",30869,99.82,56,"ACCESS;NONE | SPAWN;NONE",39
"KISP","SK",30869,99.46,166,"ACCESS;NONE | SPAWN;NONE",146
"KISP","ST",30869,99.72,87,"ACCESS;NONE | SPAWN;NONE",40
"KLUM","BT",31351,99.63,117," | REAR;NONE",18
"KLUM","CH",31351,99.88,38,"REAR;NONE | ACCESS;NONE",6
"KLUM","CM",31351,99.96,13,"ACCESS;NONE | SPAWN;NONE",4
"KLUM","CO",31351,99.68,101,"ACCESS;NONE | SPAWN;NONE",37
"KLUM","PK",31351,99.93,22,"ACCESS;NONE | SPAWN;NONE",8
"KLUM","SK",31351,99.41,184,"ACCESS;NONE | SPAWN;NONE",145
"KLUM","ST",31351,99.81,58,"REAR;NONE | SPAWN;NONE",12
"LBTN","BT",0,NA,NA,NA,NA
"LCHL","BT",19603,99.47,104,"ACCESS;MODELLED;INTERMITTENT | ACCESS;REMEDIATED;INTERMITTENT",23
"LCHL","CH",19603,99.76,47,"ACCESS;NONE | SPAWN;NONE",13
"LCHL","CO",19603,99.55,88,"REAR;MODELLED | ACCESS;MODELLED",38
"LFRA","BT",26656,97.83,579,"ACCESS;ASSESSED;INTERMITTENT | ACCESS;MODELLED;INTERMITTENT",102
"LFRA","CH",26656,99.58,112,"SPAWN;MODELLED | REAR;MODELLED",31
"LFRA","CM",26656,99.46,145,"ACCESS;DAM | SPAWN;DAM",42
"LFRA","CO",26656,97.96,543,"ACCESS;DAM;INTERMITTENT | SPAWN;DAM;INTERMITTENT",127
"LFRA","PK",26656,99.69,82,"ACCESS;DAM | SPAWN;DAM",22
"LFRA","SK",26656,99.48,139,"ACCESS;NONE | SPAWN;NONE",87
"LFRA","ST",26656,99.37,169,"SPAWN;MODELLED | REAR;MODELLED",31
"LKEL","BT",3355,99.91,3,"SPAWN;ASSESSED | REAR;ASSESSED",2
"LKEL","CH",3355,99.79,7,"ACCESS;DAM | SPAWN;DAM",4
"LKEL","CM",3355,99.97,1,"SPAWN | ",1
"LKEL","CO",3355,97.05,99,"ACCESS;DAM | SPAWN;DAM",43
"LKEL","PK",3355,99.43,19,"ACCESS;NONE | SPAWN;NONE",10
"LKEL","ST",3355,99.05,32,"ACCESS;NONE | SPAWN;NONE",13
"LOMI","BT",18888,99.34,125,"REAR;DAM | ACCESS;DAM",32
"LPCE","BT",0,NA,NA,NA,NA
"LSAL","CH",11460,99.39,70,"ACCESS;NONE | SPAWN;NONE",39
"LSKE","BT",37468,99.8,74,"SPAWN;ASSESSED | REAR;ASSESSED",7
"LSKE","CH",37468,99.78,82,"ACCESS;NONE | SPAWN;NONE",28
"LSKE","CM",37468,99.69,118,"ACCESS;NONE | SPAWN;NONE",78
"LSKE","CO",37468,99.55,170,"ACCESS;NONE | SPAWN;NONE",33
"LSKE","PK",37468,99.64,134,"ACCESS;NONE | SPAWN;NONE",79
"LSKE","SK",37468,99.65,130,"ACCESS;NONE | SPAWN;NONE",88
"LSKE","ST",37468,99.84,59,"REAR;NONE | ACCESS;NONE",17
"MESI","BT",16738,99.32,114,"REAR;DAM | ACCESS;DAM",29
"MFRA","CH",8818,99.95,4,"ACCESS;NONE;INTERMITTENT | ",3
"MORK","BT",51593,99.68,164,"REAR;MODELLED | ACCESS;MODELLED",20
"MORK","CH",51593,99.71,152,"ACCESS;NONE | SPAWN;NONE",69
"MORR","BT",29038,99.75,74,"ACCESS;ASSESSED | REAR;ASSESSED",26
"MORR","CH",29038,99.85,45,"ACCESS;NONE | SPAWN;NONE",11
"MORR","CO",29038,99.23,224,"REAR;NONE | SPAWN;NONE",101
"MORR","PK",29038,99.88,35,"ACCESS;NONE | SPAWN;NONE",20
"MORR","SK",29038,99.17,241,"REAR;NONE | SPAWN;NONE",132
"MORR","ST",29038,99.54,133,"ACCESS;NONE | SPAWN;NONE",50
"MSKE","BT",29977,99.99,4,"ACCESS;NONE;INTERMITTENT | ",3
"MSKE","CH",29977,99.92,24,"ACCESS;NONE | SPAWN;NONE",8
"MSKE","CO",29977,99.88,37,"REAR;NONE | SPAWN;NONE",10
"MSKE","SK",29977,99.61,117,"ACCESS;NONE | SPAWN;NONE",104
"MSKE","ST",29977,99.91,28,"REAR;NONE | ACCESS;NONE",19
"NARC","BT",19279,99.69,59,"REAR;MODELLED | ACCESS;MODELLED",20
"NARC","CH",19279,99.52,92,"ACCESS;MODELLED | SPAWN;MODELLED",74
"NARC","PK",19279,99.88,24,"SPAWN;MODELLED | ACCESS;MODELLED",13
"NATR","BT",32314,98.86,369,"REAR | ",51
"NECR","BT",27698,99.88,33,"SPAWN;MODELLED | REAR;MODELLED",11
"NECR","CH",27698,99.9,29,"SPAWN;ASSESSED | REAR;ASSESSED",9
"NECR","CO",27698,99.71,80,"REAR;MODELLED | ACCESS;MODELLED",36
"NECR","SK",27698,99.96,10,"ACCESS;NONE | ",5
"OSPK","BT",23454,99.56,104,"REAR;DAM | ACCESS;DAM",46
"PARA","BT",17062,68.59,5359,"ACCESS;NONE;INTERMITTENT | ACCESS;DAM;INTERMITTENT",1397
"PARS","BT",43120,98.95,451,"ACCESS;DAM;INTERMITTENT | REAR;DAM;INTERMITTENT",60
"PCEA","BT",33744,99.75,84,"ACCESS;DAM | REAR;DAM",44
"SALR","CH",10491,98.62,145,"ACCESS;NONE | SPAWN;NONE",138
"SETN","BT",78833,99.86,114,"REAR;MODELLED | ACCESS;MODELLED",18
"SETN","CH",78833,94.74,4148,"ACCESS;DAM | ",1708
"SETN","CM",78833,94.81,4089,"ACCESS;DAM | ",1585
"SETN","CO",78833,94.76,4128,"ACCESS;DAM | ",1434
"SETN","PK",78833,94.8,4097,"ACCESS;DAM | ",1585
"SETN","SK",78833,94.71,4171,"ACCESS;DAM | ",2433
"SETN","ST",78833,93.66,4996,"ACCESS;DAM | ",1753
"TABR","BT",12680,99.35,83,"ACCESS;ASSESSED | REAR;ASSESSED",32
"TABR","CH",12680,99.79,26,"ACCESS;ASSESSED | REAR;ASSESSED",16
"TOOD","BT",41349,99.57,179,"REAR;DAM | ACCESS;DAM",87
"TWAC","BT",12306,99.82,22,"ACCESS;MODELLED | ACCESS;ASSESSED",19
"TWAC","CH",12306,99.85,19,"ACCESS;MODELLED | ACCESS;ASSESSED",19
"UFRA","BT",34645,98.32,583,"ACCESS;ASSESSED;INTERMITTENT | ACCESS;MODELLED;INTERMITTENT",69
"UFRA","CH",34645,99.25,261,"SPAWN;ASSESSED | SPAWN;NONE",46
"UNRS","BT",26138,61.8,9986,"ACCESS;NONE | ACCESS;DAM",3593
"UOMI","BT",17181,99.19,139,"ACCESS;DAM | REAR;DAM",32
"UPCE","BT",23072,99.57,100,"REAR;MODELLED | ACCESS;MODELLED",12
"USKE","BT",26507,98.92,286,"ACCESS;NONE;INTERMITTENT | ACCESS;MODELLED;INTERMITTENT",175
"USKE","CH",26507,99.57,113,"ACCESS;NONE | ACCESS;MODELLED",47
"USKE","CO",26507,99.51,130,"ACCESS;NONE | ACCESS;MODELLED",43
"USKE","SK",26507,99.49,136,"ACCESS;NONE | ACCESS;MODELLED",68
"USKE","ST",26507,99.28,190,"ACCESS;NONE;INTERMITTENT | ACCESS;MODELLED;INTERMITTENT",96
"WILL","BT",18735,99.03,181,"ACCESS;ASSESSED | REAR;ASSESSED",70
"WILL","CH",18735,99.49,95,"REAR;ASSESSED | ACCESS;ASSESSED",37
"WILL","CO",18735,99.13,163,"REAR;ASSESSED | ACCESS;ASSESSED",29
"ZYMO","BT",23912,99.45,132," | ACCESS;MODELLED",29
"ZYMO","CH",23912,99.69,75," | ACCESS;NONE",19
"ZYMO","CO",23912,99.62,90," | ACCESS;NONE",18
"ZYMO","ST",23912,99.75,59,"REAR;NONE | ACCESS;NONE",16
